Id;PostId;UserId;PostHistoryTypeId;RevisionGUID;CreationDate;Text;UserDisplayName;Comment
122818170;38420076;6454129;2;454c4193-bcc2-4b88-8c58-da47f50bb6ae;2016-07-17 10:05:45.0;I use `gNuSMV` for model checking which is the `NuSMV GUI`. With have `the same file` gNuSMV compile and build and show Properties and Trace tab sometimes not work. what can I do?;;
122854825;38420076;6454129;5;a009721a-23e2-4ea7-b944-4332a4d19c4d;2016-07-18 05:19:34.0;"I use `gNuSMV` for model checking which is the `NuSMV GUI`. With have `the same file` gNuSMV compile and build and show Properties and Trace tab sometimes not work. what can I do?&#xD;&#xA;&#xD;&#xA;I click `Start Now` then in the `Modeling` tab I click open icon and choose my file and then click `Compile`.&#xD;&#xA;I use windows vista. when I run it on windows 7 I don't have any problem.&#xD;&#xA;&#xD;&#xA;";;"added 192 characters in body; edited tags"
122855752;38420076;6454129;5;332afb13-21ba-495a-9bcb-c4c348f5a672;2016-07-18 05:41:03.0;"I use `gNuSMV` for model checking which is the `NuSMV GUI`. With have `the same file` gNuSMV compile and build and show Properties and Trace tab sometimes not work. what can I do?&#xD;&#xA;&#xD;&#xA;I click `Start Now` then in the `Modeling` tab I click open icon and choose my file and then click `Compile`.&#xD;&#xA;I use windows vista. when I run it on windows 7 I don't have any problem.&#xD;&#xA;&#xD;&#xA;my code:&#xD;&#xA;&#xD;&#xA;    MODULE main&#xD;&#xA;    VAR&#xD;&#xA;    state:{Na,Re,In,Ab,Pr,Do,En,Co,Su};&#xD;&#xA;    ASSIGN&#xD;&#xA;      init(state):=Na;&#xD;&#xA;      next(state):=&#xD;&#xA;       case&#xD;&#xA;    (state=Do):{En};&#xD;&#xA;    (state=Re):{In,Do};&#xD;&#xA;    (state=In):{Ab,Pr};&#xD;&#xA;    (state=Pr):{Re,In};&#xD;&#xA;    (state=Ab):{En};&#xD;&#xA;    (state=Na):{Re};&#xD;&#xA;    (state=En):{Na};&#xD;&#xA;     TRUE:{Do};&#xD;&#xA;     esac;&#xD;&#xA;&#xD;&#xA;    --LTL Specification&#xD;&#xA;    LTLSPEC G (state=Na -> X state=Re)&#xD;&#xA;    LTLSPEC G (state=Re -> X F(state=In|state=Ab|state=Do|state=Su))&#xD;&#xA;    LTLSPEC G (state=Co -> X F state=Na)&#xD;&#xA;    LTLSPEC G (state=Do -> X F(state=En|state=Co))&#xD;&#xA;    LTLSPEC G ((state=Do|state=Ab) -> X F (state=En))&#xD;&#xA;    LTLSPEC G (state=In -> X F (state=Ab|state=Pr|state=Re|state=Su))&#xD;&#xA;    LTLSPEC G F((state=Re|state=In) -> (X (state=Do|state=Ab)))&#xD;&#xA;&#xD;&#xA;    --CTL Specification&#xD;&#xA;    SPEC  AG (state=Na -> AX state=Re)&#xD;&#xA;    SPEC AG (state=Re -> AX AF(state=In|state=Ab|state=Su|state=Do))&#xD;&#xA;    SPEC AG (state=Co -> AX AF state=Na)&#xD;&#xA;    SPEC AG (state=Do -> AX AF (state=En|state=Co))&#xD;&#xA;    SPEC AG ((state=Do|state=Ab) -> AX AF state=En)&#xD;&#xA;    SPEC AG (state=In -> AX AF (state=Ab|state=Pr|state=Re|state=Su))&#xD;&#xA;&#xD;&#xA;    SPEC AG EF(state=En)&#xD;&#xA;    SPEC AG EF(state=Do)&#xD;&#xA;    SPEC AG EF(state=Ab|state=Do)&#xD;&#xA;    SPEC AG EF (state=Re -> state=In)&#xD;&#xA;    SPEC AG EF((state=In -> EX state=Pr)|(state=In -> EX state=Re))&#xD;&#xA;    SPEC AG EF((state=Pr -> EX state=Re)|(state=Pr -> EX state=Ab))&#xD;&#xA;&#xD;&#xA; &#xD;&#xA;";;added 1390 characters in body
128417552;38420076;6454129;5;ae63e1d1-22e9-422f-92d1-5b214c81dcf0;2016-10-03 04:22:30.0;What techniques of `testing/verification` can reduce `false negative` errors caused by `static analysis`?;;"deleted 1656 characters in body; edited tags; edited title"
128774782;38420076;6454129;5;32b57a2c-6fec-4162-a8c1-a68381e6d278;2016-10-07 11:17:41.0;What techniques of `testing/verification` can reduce `false positive` errors caused by `static analysis`?;;"edited body; edited title"
129762664;38420076;6454129;5;6dd932d6-f69f-427c-9b6c-528a6a2d8adb;2016-10-20 18:57:47.0;What techniques of `testing/verification` can reduce `false negative` errors caused by `static analysis`?;;"edited body; edited title"
129823714;38420076;6454129;5;fba0f660-e3d4-448b-a3f6-6cd78b95a081;2016-10-21 13:48:25.0;I can not connect to https://raw.githubusercontent.com/epsilonlabs/haetae/master/org.eclipse.epsilon.haetae.updatesite/site.xml update site through eclipse. What should I do?;;"added 69 characters in body; edited tags; edited title"
129849103;38420076;6454129;5;a083c768-f0e4-4545-b878-81731a8a7ac2;2016-10-21 20:22:07.0;`symbolic execution` in several references is `formal verification` technique which is one of the `static verification` techniques. I want to know if I using `symbolic execution` to generate `test cases` and give it to the `oracle` function, Is it `dynamic testing` or still `formal verification`?;;"added 123 characters in body; edited tags; edited title"
130415046;38420076;6454129;5;8acc5ccb-d7c6-428f-8e7d-5724cab59618;2016-10-29 18:11:31.0;Is there any `Meta-Model` for `Control Flow Graph (CFG)`? Is it the same as graph Meta-model? Is there any complete graph Meta-model?;;"deleted 164 characters in body; edited tags; edited title"
131791951;38420076;6454129;5;f908e4b3-cc01-4f33-8e1a-320884ea7262;2016-11-17 14:22:45.0;What kinds of errors can detect in white-box testing and can not detect in black-box testing? in other words if I generate test cases in black-box manner that doesn't considering the program what kinds of errors I can not detect?;;"added 95 characters in body; edited tags; edited title"
132739873;38420076;6454129;8;1ace558b-fbda-4b4f-aa2b-c1b9fbdcf3fb;2016-11-30 08:29:03.0;Is there any `Meta-Model` for `Control Flow Graph (CFG)`? Is it the same as graph Meta-model? Is there any complete graph Meta-model?;;Rollback to [8acc5ccb-d7c6-428f-8e7d-5724cab59618]
132823968;38420076;6454129;5;3ba099c7-9dae-4ab6-9105-e3569a558b85;2016-12-01 04:41:19.0;"Is there any `Meta-Model` for `Control Flow Graph (CFG)`? somethings like [picture of this post][1].&#xD;&#xA;&#xD;&#xA;&#xD;&#xA;  [1]: http://stackoverflow.com/questions/40838712/control-flow-graph-of-etl?noredirect=1#comment68993123_40838712";;added 87 characters in body
136850019;38420076;6454129;5;850503bc-b644-4323-9710-44857558156c;2017-01-25 19:34:33.0;I have .ecore metamodel. How can I generate class diagram from it?;;"deleted 154 characters in body; edited tags; edited title"
136918560;38420076;6454129;5;2a425e57-aaed-4271-8c25-7555d5b8d831;2017-01-26 16:16:32.0;I have .ecore metamodel. How can I automatically generate class diagram from it?;;added 14 characters in body
